"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 11 11:59:47 WAT 2023","Fri Aug 11 11:59:47 WAT 2023","310","Marketing","Email Campaigns","","","","Update an email campaign",""
"passed","Fri Aug 11 11:59:44 WAT 2023","Fri Aug 11 11:59:45 WAT 2023","324","Sales CRM","Notes","","","","Update a note",""
"passed","Fri Aug 11 11:59:40 WAT 2023","Fri Aug 11 11:59:40 WAT 2023","291","Sales CRM","Deals","","","","Link and Unlink a deal with contacts and companies",""
"passed","Fri Aug 11 12:00:25 WAT 2023","Fri Aug 11 12:00:25 WAT 2023","265","Account","Corporate","","","","Update sub-account plan",""
"passed","Fri Aug 11 12:00:13 WAT 2023","Fri Aug 11 12:00:13 WAT 2023","293","Transactional","Logs","","","","Delete an SMTP transactional log",""
"passed","Fri Aug 11 11:59:45 WAT 2023","Fri Aug 11 11:59:45 WAT 2023","316","Sales CRM","Files","","","","Get all files",""
"passed","Fri Aug 11 11:59:37 WAT 2023","Fri Aug 11 11:59:38 WAT 2023","283","Sales CRM","Companies","","","","Link and Unlink company with contact and deal",""
"passed","Fri Aug 11 12:00:03 WAT 2023","Fri Aug 11 12:00:04 WAT 2023","268","Contact management","Lists","","","","Delete a contact from a list",""
"passed","Fri Aug 11 12:00:18 WAT 2023","Fri Aug 11 12:00:18 WAT 2023","284","Account","Reseller","Domains","","","Get all sender domains for a specific child account",""
"passed","Fri Aug 11 12:00:25 WAT 2023","Fri Aug 11 12:00:25 WAT 2023","291","Account","Account data","","","","Get your account information, plan and credits details",""
"passed","Fri Aug 11 12:00:09 WAT 2023","Fri Aug 11 12:00:09 WAT 2023","298","Transactional","Templates","","","","Delete an inactive email template",""
"passed","Fri Aug 11 12:00:21 WAT 2023","Fri Aug 11 12:00:21 WAT 2023","257","Account","Reseller","Child accounts","","","Get the status of a reseller's child account creation, whether it is successfully created (exists) or not based on the childIdentifier supplied",""
"failed","Fri Aug 11 12:00:08 WAT 2023","Fri Aug 11 12:00:08 WAT 2023","298","Transactional","Templates","","","","Get the list of email templates",""
"passed","Fri Aug 11 11:59:50 WAT 2023","Fri Aug 11 11:59:50 WAT 2023","286","Marketing","Email Campaigns","","","","Create an email campaign",""
"passed","Fri Aug 11 11:59:39 WAT 2023","Fri Aug 11 11:59:39 WAT 2023","337","Sales CRM","Companies","","","","Get pipeline stages",""
"passed","Fri Aug 11 11:59:42 WAT 2023","Fri Aug 11 11:59:42 WAT 2023","250","Sales CRM","Tasks","","","","Create a task",""
"passed","Fri Aug 11 11:59:45 WAT 2023","Fri Aug 11 11:59:46 WAT 2023","316","Sales CRM","Files","","","","Upload a file",""
"passed","Fri Aug 11 11:59:44 WAT 2023","Fri Aug 11 11:59:44 WAT 2023","309","Sales CRM","Notes","","","","Get a note",""
"passed","Fri Aug 11 12:00:02 WAT 2023","Fri Aug 11 12:00:02 WAT 2023","285","Contact management","Lists","","","","Get all the lists",""
"passed","Fri Aug 11 12:00:18 WAT 2023","Fri Aug 11 12:00:19 WAT 2023","302","Account","Reseller","Domains","","","Create a domain for a child account",""
"passed","Fri Aug 11 11:59:39 WAT 2023","Fri Aug 11 11:59:40 WAT 2023","312","Sales CRM","Deals","","","","Create a deal",""
"passed","Fri Aug 11 12:00:21 WAT 2023","Fri Aug 11 12:00:21 WAT 2023","293","Account","Reseller","Child accounts","","","Get session token to access Sendinblue (SSO)",""
"passed","Fri Aug 11 11:59:50 WAT 2023","Fri Aug 11 11:59:50 WAT 2023","275","Marketing","Email Campaigns","","","","Export the recipients of an email campaign",""
"passed","Fri Aug 11 12:00:01 WAT 2023","Fri Aug 11 12:00:01 WAT 2023","316","Contact management","Folders","","","","Create a folder",""
"passed","Fri Aug 11 12:00:23 WAT 2023","Fri Aug 11 12:00:23 WAT 2023","286","Account","Corporate","","","","Get the list of all the sub-accounts of the master account.",""
"passed","Fri Aug 11 12:00:04 WAT 2023","Fri Aug 11 12:00:05 WAT 2023","277","Contact management","Attributes","","","","List all attributes",""
"passed","Fri Aug 11 11:59:51 WAT 2023","Fri Aug 11 11:59:51 WAT 2023","241","Marketing","Email Campaigns","","","","Upload an image to your account's image gallery",""
"passed","Fri Aug 11 12:00:00 WAT 2023","Fri Aug 11 12:00:00 WAT 2023","300","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"passed","Fri Aug 11 12:00:19 WAT 2023","Fri Aug 11 12:00:20 WAT 2023","273","Account","Reseller","Child accounts","","","Get a child account's details",""
"failed","Fri Aug 11 11:59:54 WAT 2023","Fri Aug 11 11:59:55 WAT 2023","312","Conversations","Messages","","","","Get a message",""
"passed","Fri Aug 11 11:59:46 WAT 2023","Fri Aug 11 11:59:46 WAT 2023","308","Sales CRM","Files","","","","Download a file",""
"failed","Fri Aug 11 12:00:08 WAT 2023","Fri Aug 11 12:00:08 WAT 2023","345","Transactional","Templates","","","","Create an email template",""
"passed","Fri Aug 11 12:00:26 WAT 2023","Fri Aug 11 12:00:27 WAT 2023","264","Account","Senders","","","","Delete a sender",""
